mode,io_threads,block_size,dataset_size,ranks,compute_time,write_size,raw_write_time,metadata_time,h5fcreate_time,h5fflush_time,h5fclose_time,completion_time,raw_write_rate,observed_write_rate
GPU,1,65536,1GB,1,4s,"1.000 GB",0.340,0.001,0.001,0.236,0.000,4.592,"2.937 GB/s ","1.688 GB/s"
GPU,1,65536,5GB#,1,4s,"576.000 B",0.001,0.002,0.005,0.016,0.001,4.025,"602.894 KB/s ","22.732 KB/s"
GPU,1,65536,10GB,1,4s,"10.000 GB",3.489,0.001,0.001,1.134,0.000,8.739,"2.865 GB/s ","2.109 GB/s"
GPU,1,65536,20GB,1,4s,"20.000 GB",7.240,0.001,0.001,3.521,0.001,14.984,"2.762 GB/s ","1.820 GB/s"
GPU,1,131072,1GB,1,4s,"1.000 GB",0.341,0.001,0.001,0.545,0.001,4.903,"2.933 GB/s ","1.106 GB/s"
GPU,1,131072,5GB#,1,4s,"576.000 B",0.001,0.001,0.001,0.010,0.001,4.014,"932.835 KB/s ","39.599 KB/s"
GPU,1,131072,10GB,1,4s,"10.000 GB",3.560,0.001,0.001,1.971,0.001,9.652,"2.809 GB/s ","1.769 GB/s"
GPU,1,131072,20GB,1,4s,"20.000 GB",7.329,0.001,0.001,2.354,0.001,13.908,"2.729 GB/s ","2.019 GB/s"
GPU,1,262144#,1GB,1,4s,"1.000 GB",0.335,0.001,0.001,0.454,0.000,4.806,"2.981 GB/s ","1.240 GB/s"
GPU,1,262144#,5GB#,1,4s,"576.000 B",0.001,0.002,0.005,0.016,0.001,4.025,"599.041 KB/s ","22.473 KB/s"
GPU,1,262144#,10GB,1,4s,"10.000 GB",3.477,0.001,0.001,2.531,0.001,10.130,"2.875 GB/s ","1.631 GB/s"
GPU,1,262144#,20GB,1,4s,"20.000 GB",7.291,0.001,0.001,2.295,0.001,13.817,"2.742 GB/s ","2.037 GB/s"
GPU,1,524288,1GB,1,4s,"1.000 GB",0.338,0.001,0.001,0.493,0.001,4.848,"2.958 GB/s ","1.178 GB/s"
GPU,1,524288,5GB#,1,4s,"576.000 B",0.001,0.002,0.005,0.012,0.001,4.020,"596.500 KB/s ","27.859 KB/s"
GPU,1,524288,10GB,1,4s,"10.000 GB",3.556,0.001,0.001,2.462,0.001,10.141,"2.812 GB/s ","1.628 GB/s"
