mode,io_threads,block_size,dataset_size,ranks,compute_time,write_size,raw_write_time,metadata_time,h5fcreate_time,h5fflush_time,h5fclose_time,completion_time,raw_write_rate,observed_write_rate
GPU,1,65536,1GB,1,4s,"1.000 GB",0.710,0.001,0.001,0.363,0.000,5.085,"1.407 GB/s ","944.005 MB/s"
GPU,1,65536,5GB,1,4s,"5.000 GB",3.314,0.000,0.001,1.547,0.001,8.876,"1.508 GB/s ","1.025 GB/s"
GPU,1,65536,10GB,1,4s,"10.000 GB",6.673,0.001,0.001,2.047,0.001,12.739,"1.498 GB/s ","1.144 GB/s"
GPU,1,65536,20GB,1,4s,"20.000 GB",13.328,0.001,0.001,1.992,0.000,19.339,"1.500 GB/s ","1.304 GB/s"
GPU,1,131072,1GB,1,4s,"1.000 GB",0.691,0.001,0.001,0.485,0.001,5.188,"1.447 GB/s ","861.938 MB/s"
GPU,1,131072,5GB,1,4s,"5.000 GB",3.315,0.001,0.001,1.431,0.001,8.762,"1.508 GB/s ","1.050 GB/s"
GPU,1,131072,10GB,1,4s,"10.000 GB",6.639,0.001,0.001,1.993,0.001,12.650,"1.506 GB/s ","1.155 GB/s"
GPU,1,131072,20GB,1,4s,"20.000 GB",13.284,0.001,0.001,2.715,0.001,20.018,"1.505 GB/s ","1.248 GB/s"
GPU,1,262144,1GB,1,4s,"1.000 GB",0.703,0.001,0.001,0.463,0.001,5.178,"1.421 GB/s ","869.124 MB/s"
GPU,1,262144,5GB,1,4s,"5.000 GB",3.324,0.001,0.001,1.479,0.001,8.818,"1.504 GB/s ","1.037 GB/s"
GPU,1,262144,10GB,1,4s,"10.000 GB",6.664,0.001,0.001,2.388,0.001,13.070,"1.500 GB/s ","1.102 GB/s"
GPU,1,262144,20GB,1,4s,"20.000 GB",13.413,0.001,0.001,2.666,0.001,20.098,"1.490 GB/s ","1.242 GB/s"
GPU,1,524288,1GB,1,4s,"1.000 GB",0.696,0.000,0.001,0.494,0.001,5.207,"1.436 GB/s ","848.100 MB/s"
GPU,1,524288,5GB,1,4s,"5.000 GB",3.304,0.001,0.001,1.658,0.001,8.985,"1.513 GB/s ","1.003 GB/s"
GPU,1,524288,10GB,1,4s,"10.000 GB",6.695,0.001,0.001,2.262,0.001,12.976,"1.493 GB/s ","1.113 GB/s"
GPU,1,524288,20GB,1,4s,"20.000 GB",13.245,0.001,0.001,2.379,0.001,19.688,"1.510 GB/s ","1.274 GB/s"
GPU,1,1048576,1GB,1,4s,"1.000 GB",0.691,0.001,0.001,0.497,0.001,5.201,"1.447 GB/s ","852.954 MB/s"
GPU,1,1048576,5GB,1,4s,"5.000 GB",3.311,0.001,0.001,1.657,0.000,8.983,"1.510 GB/s ","1.003 GB/s"
GPU,1,1048576,10GB,1,4s,"10.000 GB",6.716,0.001,0.001,2.249,0.000,12.984,"1.488 GB/s ","1.112 GB/s"
