mode,io_threads,block_size,dataset_size,ranks,compute_time,write_size,raw_write_time,metadata_time,h5fcreate_time,h5fflush_time,h5fclose_time,completion_time,raw_write_rate,observed_write_rate
GPU,1,65536,1GB,1,4s,"1.000 GB",0.351,0.001,0.001,0.125,0.000,4.494,"2.852 GB/s ","2.024 GB/s"
GPU,1,65536,5GB,1,4s,"5.000 GB",1.686,0.001,0.001,1.596,0.000,7.372,"2.966 GB/s ","1.482 GB/s"
GPU,1,65536,10GB,1,4s,"10.000 GB",3.542,0.001,0.001,2.305,0.001,10.045,"2.822 GB/s ","1.653 GB/s"
GPU,1,65536,20GB,1,4s,"20.000 GB",7.209,0.001,0.001,2.636,0.001,14.158,"2.774 GB/s ","1.969 GB/s"
GPU,1,131072,1GB,1,4s,"1.000 GB",0.349,0.001,0.001,0.497,0.001,4.864,"2.864 GB/s ","1.157 GB/s"
GPU,1,131072,5GB,1,4s,"5.000 GB",1.707,0.001,0.001,1.542,0.001,7.339,"2.929 GB/s ","1.497 GB/s"
GPU,1,131072,10GB,1,4s,"10.000 GB",3.531,0.001,0.001,2.240,0.001,9.975,"2.831 GB/s ","1.673 GB/s"
GPU,1,131072,20GB,1,4s,"20.000 GB",7.346,0.001,0.001,2.256,0.000,13.920,"2.722 GB/s ","2.016 GB/s"
GPU,1,262144,1GB,1,4s,"1.000 GB",0.361,0.001,0.001,0.459,0.001,4.839,"2.771 GB/s ","1.191 GB/s"
GPU,1,262144,5GB,1,4s,"5.000 GB",1.683,0.001,0.001,1.435,0.001,7.208,"2.971 GB/s ","1.558 GB/s"
GPU,1,262144,10GB,1,4s,"10.000 GB",3.486,0.001,0.001,2.009,0.001,9.698,"2.868 GB/s ","1.755 GB/s"
