mode,io_threads,block_size,dataset_size,ranks,compute_time,write_size,raw_write_time,metadata_time,h5fcreate_time,h5fflush_time,h5fclose_time,completion_time,raw_write_rate,observed_write_rate
GPU,1,65536,1GB,1,4s,"1.000 GB",0.347,0.001,0.001,0.263,0.000,4.627,"2.884 GB/s ","1.594 GB/s"
GPU,1,65536,5GB#,1,4s,"576.000 B",0.001,0.001,0.002,0.016,0.001,4.022,"734.334 KB/s ","25.654 KB/s"
GPU,1,65536,10GB,1,4s,"10.000 GB",3.538,0.001,0.001,2.684,0.001,10.357,"2.826 GB/s ","1.572 GB/s"
GPU,1,65536,20GB,1,4s,"20.000 GB",7.155,0.001,0.001,2.903,0.000,14.298,"2.795 GB/s ","1.941 GB/s"
GPU,1,131072,1GB,1,4s,"1.000 GB",0.337,0.001,0.001,0.415,0.000,4.770,"2.965 GB/s ","1.299 GB/s"
GPU,1,131072,5GB#,1,4s,"576.000 B",0.001,0.001,0.001,0.016,0.001,4.020,"931.291 KB/s ","27.798 KB/s"
GPU,1,131072,10GB,1,4s,"10.000 GB",3.582,0.001,0.001,2.564,0.001,10.283,"2.791 GB/s ","1.591 GB/s"
