mode,io_threads,block_size,dataset_size,ranks,compute_time,write_size,raw_write_time,metadata_time,h5fcreate_time,h5fflush_time,h5fclose_time,completion_time,raw_write_rate,observed_write_rate
GPU,1,65536,1GB,1,4s,"1.000 GB",0.346,0.000,0.001,0.213,0.001,4.577,"2.890 GB/s ","1.732 GB/s"
GPU,1,65536,5GB,1,4s,"5.000 GB",1.701,0.001,0.001,1.474,0.001,7.268,"2.938 GB/s ","1.529 GB/s"
GPU,1,65536,10GB,1,4s,"10.000 GB",3.548,0.000,0.001,1.902,0.001,9.649,"2.818 GB/s ","1.770 GB/s"
GPU,1,65536,20GB,1,4s,"20.000 GB",7.226,0.001,0.001,2.339,0.001,13.874,"2.768 GB/s ","2.025 GB/s"
GPU,1,131072,1GB,1,4s,"1.000 GB",0.356,0.001,0.001,0.504,0.001,4.878,"2.811 GB/s ","1.139 GB/s"
GPU,1,131072,5GB,1,4s,"5.000 GB",1.694,0.001,0.001,1.414,0.000,7.200,"2.951 GB/s ","1.562 GB/s"
GPU,1,131072,10GB,1,4s,"10.000 GB",3.582,0.001,0.001,2.220,0.000,10.001,"2.792 GB/s ","1.666 GB/s"
GPU,1,131072,20GB,1,4s,"20.000 GB",7.212,0.001,0.001,2.289,0.001,13.812,"2.772 GB/s ","2.038 GB/s"
GPU,1,262144,1GB,1,4s,"1.000 GB",0.347,0.001,0.001,0.504,0.001,4.870,"2.880 GB/s ","1.149 GB/s"
GPU,1,262144,5GB,1,4s,"5.000 GB",1.698,0.001,0.001,1.441,0.000,7.232,"2.944 GB/s ","1.547 GB/s"
GPU,1,262144,10GB,1,4s,"10.000 GB",3.517,0.001,0.001,2.555,0.000,10.273,"2.843 GB/s ","1.594 GB/s"
GPU,1,262144,20GB,1,4s,"20.000 GB",7.197,0.001,0.001,2.545,0.001,14.054,"2.778 GB/s ","1.988 GB/s"
GPU,1,524288,1GB,1,4s,"1.000 GB",0.354,0.001,0.001,0.365,0.000,4.737,"2.824 GB/s ","1.356 GB/s"
GPU,1,524288,5GB,1,4s,"5.000 GB",1.691,0.001,0.001,1.562,0.001,7.343,"2.956 GB/s ","1.495 GB/s"
