mode,io_threads,block_size,dataset_size,ranks,compute_time,write_size,raw_write_time,metadata_time,h5fcreate_time,h5fflush_time,h5fclose_time,completion_time,raw_write_rate,observed_write_rate
GPU,1,65536,1GB,1,4s,"1.000 GB",0.358,0.001,0.001,0.456,0.000,4.832,"2.795 GB/s ","1.202 GB/s"
GPU,1,65536,5GB,1,4s,"5.000 GB",1.694,0.001,0.001,1.458,0.001,7.243,"2.951 GB/s ","1.542 GB/s"
GPU,1,65536,10GB,1,4s,"10.000 GB",3.528,0.001,0.001,1.922,0.001,9.649,"2.834 GB/s ","1.770 GB/s"
GPU,1,65536,20GB,1,4s,"20.000 GB",7.185,0.001,0.001,3.075,0.000,14.617,"2.783 GB/s ","1.883 GB/s"
GPU,1,131072,1GB,1,4s,"1.000 GB",0.363,0.001,0.001,0.310,0.000,4.692,"2.753 GB/s ","1.445 GB/s"
GPU,1,131072,5GB,1,4s,"5.000 GB",1.706,0.000,0.001,1.651,0.001,7.447,"2.931 GB/s ","1.450 GB/s"
GPU,1,131072,10GB,1,4s,"10.000 GB",3.543,0.001,0.001,2.449,0.000,10.185,"2.822 GB/s ","1.616 GB/s"
GPU,1,131072,20GB,1,4s,"20.000 GB",7.226,0.001,0.001,2.809,0.001,14.366,"2.768 GB/s ","1.929 GB/s"
GPU,1,262144,1GB,1,4s,"1.000 GB",0.356,0.001,0.001,0.482,0.001,4.856,"2.812 GB/s ","1.168 GB/s"
GPU,1,262144,5GB,1,4s,"5.000 GB",1.698,0.001,0.001,1.424,0.000,7.212,"2.944 GB/s ","1.556 GB/s"
GPU,1,262144,10GB,1,4s,"10.000 GB",3.521,0.001,0.001,2.098,0.001,9.810,"2.840 GB/s ","1.721 GB/s"
GPU,1,262144,20GB,1,4s,"20.000 GB",7.338,0.001,0.001,2.381,0.001,14.048,"2.726 GB/s ","1.990 GB/s"
GPU,1,524288,1GB,1,4s,"1.000 GB",0.358,0.001,0.001,0.368,0.000,4.744,"2.790 GB/s ","1.344 GB/s"
GPU,1,524288,5GB,1,4s,"5.000 GB",1.683,0.000,0.001,1.535,0.001,7.308,"2.971 GB/s ","1.511 GB/s"
