mode,io_threads,block_size,dataset_size,ranks,compute_time,write_size,raw_write_time,metadata_time,h5fcreate_time,h5fflush_time,h5fclose_time,completion_time,raw_write_rate,observed_write_rate
GPU,1,65536,1GB,1,4s,"1.000 GB",0.000,0.000,0.001,0.000,0.000,4.027,"4.932 TB/s ","37.301 GB/s"
GPU,1,65536,5GB#,1,4s,"576.000 B",0.000,0.001,0.001,0.000,0.000,4.002,"2.746 MB/s ","236.443 KB/s"
GPU,1,65536,10GB,1,4s,"10.000 GB",0.000,0.000,0.001,0.000,0.000,4.117,"50.862 TB/s ","85.332 GB/s"
GPU,1,65536,20GB,1,4s,"20.000 GB",0.000,0.000,0.001,0.000,0.000,4.222,"92.128 TB/s ","89.953 GB/s"
GPU,1,131072,1GB,1,4s,"1.000 GB",0.000,0.000,0.001,0.000,0.000,4.020,"4.379 TB/s ","50.792 GB/s"
