mode,io_threads,block_size,dataset_size,ranks,compute_time,write_size,raw_write_time,metadata_time,h5fcreate_time,h5fflush_time,h5fclose_time,completion_time,raw_write_rate,observed_write_rate
GPU,1,65536,1GB,1,4s,"1.000 GB",0.342,0.001,0.001,0.228,0.000,4.588,"2.921 GB/s ","1.701 GB/s"
GPU,1,65536,5GB#,1,4s,"576.000 B",0.001,0.001,0.002,0.016,0.001,4.022,"787.814 KB/s ","25.883 KB/s"
GPU,1,65536,10GB,1,4s,"10.000 GB",3.521,0.001,0.001,2.666,0.001,10.320,"2.840 GB/s ","1.582 GB/s"
GPU,1,65536,20GB,1,4s,"20.000 GB",7.156,0.001,0.001,2.750,0.001,14.160,"2.794 GB/s ","1.968 GB/s"
GPU,1,131072,1GB,1,4s,"1.000 GB",0.339,0.001,0.001,0.504,0.001,4.861,"2.946 GB/s ","1.161 GB/s"
GPU,1,131072,5GB#,1,4s,"576.000 B",0.000,0.000,0.001,0.017,0.000,4.020,"1.934 MB/s ","28.765 KB/s"
GPU,1,131072,10GB,1,4s,"10.000 GB",3.494,0.001,0.001,3.330,0.000,10.958,"2.861 GB/s ","1.437 GB/s"
GPU,1,131072,20GB,1,4s,"20.000 GB",7.215,0.001,0.001,2.679,0.000,14.141,"2.771 GB/s ","1.972 GB/s"
GPU,1,262144#,1GB,1,4s,"1.000 GB",0.339,0.001,0.001,0.510,0.001,4.866,"2.950 GB/s ","1.154 GB/s"
GPU,1,262144#,5GB#,1,4s,"576.000 B",0.000,0.001,0.003,0.018,0.000,4.022,"1.359 MB/s ","25.610 KB/s"
GPU,1,262144#,10GB,1,4s,"10.000 GB",3.496,0.001,0.001,2.399,0.001,10.031,"2.860 GB/s ","1.657 GB/s"
GPU,1,262144#,20GB,1,4s,"20.000 GB",7.366,0.001,0.001,2.523,0.001,14.133,"2.715 GB/s ","1.974 GB/s"
GPU,1,524288,1GB,1,4s,"1.000 GB",0.340,0.001,0.001,0.344,0.001,4.702,"2.940 GB/s ","1.424 GB/s"
GPU,1,524288,5GB#,1,4s,"576.000 B",0.001,0.001,0.002,0.016,0.001,4.022,"783.426 KB/s ","25.578 KB/s"
GPU,1,524288,10GB,1,4s,"10.000 GB",3.639,0.001,0.001,2.609,0.001,10.386,"2.747 GB/s ","1.565 GB/s"
GPU,1,524288,20GB,1,4s,"20.000 GB",7.266,0.001,0.001,2.615,0.001,14.126,"2.752 GB/s ","1.975 GB/s"
GPU,1,1048576,1GB,1,4s,"1.000 GB",0.336,0.000,0.001,0.492,0.001,4.845,"2.979 GB/s ","1.183 GB/s"
GPU,1,1048576,5GB#,1,4s,"576.000 B",0.001,0.001,0.002,0.018,0.001,4.024,"793.370 KB/s ","23.667 KB/s"
GPU,1,1048576,10GB,1,4s,"10.000 GB",3.523,0.000,0.001,2.574,0.001,10.236,"2.838 GB/s ","1.604 GB/s"
GPU,1,1048576,20GB,1,4s,"20.000 GB",7.240,0.001,0.001,2.639,0.001,14.122,"2.762 GB/s ","1.976 GB/s"
GPU,1,2097152,1GB,1,4s,"1.000 GB",0.339,0.001,0.001,0.523,0.000,4.879,"2.949 GB/s ","1.137 GB/s"
GPU,1,2097152,5GB#,1,4s,"576.000 B",0.001,0.001,0.002,0.019,0.001,4.025,"714.739 KB/s ","22.757 KB/s"
GPU,1,2097152,10GB,1,4s,"10.000 GB",3.535,0.001,0.001,2.961,0.001,10.635,"2.828 GB/s ","1.507 GB/s"
GPU,1,2097152,20GB,1,4s,"20.000 GB",7.147,0.001,0.001,2.707,0.000,14.106,"2.798 GB/s ","1.979 GB/s"
GPU,1,4194304,1GB,1,4s,"1.000 GB",0.339,0.001,0.001,0.453,0.000,4.809,"2.947 GB/s ","1.236 GB/s"
GPU,1,4194304,5GB#,1,4s,"576.000 B",0.001,0.001,0.003,0.016,0.001,4.022,"782.336 KB/s ","25.354 KB/s"
GPU,1,4194304,10GB,1,4s,"10.000 GB",3.541,0.001,0.001,2.672,0.001,10.354,"2.824 GB/s ","1.573 GB/s"
GPU,1,4194304,20GB,1,4s,"20.000 GB",7.175,0.001,0.001,2.615,0.001,14.045,"2.787 GB/s ","1.990 GB/s"
GPU,2,65536,1GB,2,4s,"1.000 GB",0.417,0.002,0.002,0.494,0.001,4.928,"2.399 GB/s ","1.077 GB/s"
GPU,2,65536,5GB#,2,4s,"512.000 B",0.001,0.001,0.002,0.019,0.001,4.024,"551.268 KB/s ","21.046 KB/s"
GPU,2,65536,10GB,2,4s,"10.000 GB",4.059,0.002,0.002,2.449,0.000,10.630,"2.463 GB/s ","1.508 GB/s"
GPU,2,65536,20GB,2,4s,"20.000 GB",7.574,0.001,0.002,2.679,0.001,14.475,"2.640 GB/s ","1.909 GB/s"
GPU,2,131072,1GB,2,4s,"1.000 GB",0.415,0.001,0.002,0.496,0.000,4.928,"2.406 GB/s ","1.077 GB/s"
GPU,2,131072,5GB#,2,4s,"512.000 B",0.001,0.001,0.002,0.010,0.001,4.016,"450.045 KB/s ","31.983 KB/s"
GPU,2,131072,10GB,2,4s,"10.000 GB",4.129,0.001,0.003,2.279,0.001,10.535,"2.421 GB/s ","1.529 GB/s"
GPU,2,131072,20GB,2,4s,"20.000 GB",7.329,0.002,0.002,2.603,0.000,14.164,"2.729 GB/s ","1.967 GB/s"
GPU,2,262144#,1GB,2,4s,"1.000 GB",0.417,0.002,0.002,0.307,0.000,4.740,"2.398 GB/s ","1.351 GB/s"
GPU,2,262144#,5GB#,2,4s,"512.000 B",0.001,0.001,0.001,0.017,0.001,4.023,"427.716 KB/s ","22.026 KB/s"
GPU,2,262144#,10GB,2,4s,"10.000 GB",4.143,0.001,0.002,2.599,0.001,10.865,"2.413 GB/s ","1.456 GB/s"
GPU,2,262144#,20GB,2,4s,"20.000 GB",7.519,0.002,0.014,2.589,0.000,14.345,"2.659 GB/s ","1.933 GB/s"
