mode,io_threads,block_size,dataset_size,ranks,compute_time,write_size,raw_write_time,metadata_time,h5fcreate_time,h5fflush_time,h5fclose_time,completion_time,raw_write_rate,observed_write_rate
GPU,1,65536,1GB,1,4s,"1.000 GB",0.371,0.001,0.001,0.116,0.000,4.505,"2.698 GB/s ","1.980 GB/s"
GPU,1,65536,5GB,1,4s,"5.000 GB",1.687,0.001,0.001,1.549,0.001,7.329,"2.964 GB/s ","1.501 GB/s"
GPU,1,65536,10GB,1,4s,"10.000 GB",3.566,0.001,0.001,2.332,0.001,10.096,"2.804 GB/s ","1.640 GB/s"
GPU,1,65536,20GB,1,4s,"0 MB",0,0,0,0,0,0,"0 MB/s","0 MB/s"
GPU,1,131072,1GB,1,4s,"1.000 GB",0.370,0.001,0.001,0.488,0.001,4.877,"2.705 GB/s ","1.141 GB/s"
GPU,1,131072,5GB,1,4s,"5.000 GB",1.682,0.000,0.001,1.421,0.001,7.193,"2.972 GB/s ","1.565 GB/s"
GPU,1,131072,10GB,1,4s,"10.000 GB",3.499,0.001,0.001,1.981,0.001,9.679,"2.857 GB/s ","1.761 GB/s"
GPU,1,131072,20GB,1,4s,"20.000 GB",7.084,0.001,0.001,2.493,0.001,13.939,"2.822 GB/s ","2.012 GB/s"
GPU,1,262144,1GB,1,4s,"1.000 GB",0.356,0.001,0.001,0.418,0.001,4.793,"2.807 GB/s ","1.261 GB/s"
GPU,1,262144,5GB,1,4s,"5.000 GB",1.685,0.001,0.001,1.832,0.001,7.605,"2.967 GB/s ","1.387 GB/s"
GPU,1,262144,10GB,1,4s,"10.000 GB",3.454,0.001,0.001,3.003,0.001,10.656,"2.895 GB/s ","1.502 GB/s"
GPU,1,262144,20GB,1,4s,"20.000 GB",7.187,0.001,0.001,2.595,0.001,14.145,"2.782 GB/s ","1.971 GB/s"
GPU,1,524288,1GB,1,4s,"1.000 GB",0.356,0.001,0.001,0.484,0.000,4.858,"2.810 GB/s ","1.165 GB/s"
GPU,1,524288,5GB,1,4s,"5.000 GB",1.677,0.001,0.001,1.403,0.001,7.168,"2.981 GB/s ","1.578 GB/s"
GPU,1,524288,10GB,1,4s,"10.000 GB",3.502,0.001,0.001,1.862,0.000,9.563,"2.855 GB/s ","1.797 GB/s"
GPU,1,524288,20GB,1,4s,"20.000 GB",7.243,0.001,0.001,2.725,0.000,14.329,"2.761 GB/s ","1.936 GB/s"
GPU,1,1048576,1GB,1,4s,"1.000 GB",0.356,0.001,0.001,0.276,0.000,4.650,"2.805 GB/s ","1.538 GB/s"
GPU,1,1048576,5GB,1,4s,"5.000 GB",1.669,0.001,0.001,1.657,0.001,7.417,"2.994 GB/s ","1.463 GB/s"
GPU,1,1048576,10GB,1,4s,"10.000 GB",3.541,0.001,0.001,1.908,0.001,9.647,"2.824 GB/s ","1.771 GB/s"
GPU,1,1048576,20GB,1,4s,"20.000 GB",7.063,0.001,0.001,2.464,0.001,13.893,"2.831 GB/s ","2.021 GB/s"
GPU,1,2097152,1GB,1,4s,"1.000 GB",0.352,0.001,0.001,0.483,0.001,4.853,"2.839 GB/s ","1.172 GB/s"
GPU,1,2097152,5GB,1,4s,"5.000 GB",1.684,0.001,0.001,1.413,0.001,7.186,"2.969 GB/s ","1.569 GB/s"
GPU,1,2097152,10GB,1,4s,"10.000 GB",3.502,0.000,0.001,1.909,0.000,9.610,"2.855 GB/s ","1.782 GB/s"
GPU,1,2097152,20GB,1,4s,"20.000 GB",7.033,0.001,0.001,2.323,0.001,13.719,"2.843 GB/s ","2.058 GB/s"
GPU,1,4194304,1GB,1,4s,"1.000 GB",0.368,0.001,0.001,0.506,0.001,4.893,"2.719 GB/s ","1.120 GB/s"
GPU,1,4194304,5GB,1,4s,"5.000 GB",1.689,0.001,0.001,1.496,0.000,7.272,"2.959 GB/s ","1.527 GB/s"
GPU,1,4194304,10GB,1,4s,"10.000 GB",3.494,0.001,0.001,2.349,0.001,10.041,"2.862 GB/s ","1.654 GB/s"
GPU,1,4194304,20GB,1,4s,"20.000 GB",7.216,0.001,0.001,2.350,0.001,13.928,"2.771 GB/s ","2.014 GB/s"
GPU,2,65536,1GB,2,4s,"1.000 GB",0.432,0.002,0.002,0.438,0.000,4.887,"2.314 GB/s ","1.127 GB/s"
GPU,2,65536,5GB,2,4s,"5.000 GB",1.992,0.002,0.002,1.733,0.001,7.802,"2.509 GB/s ","1.314 GB/s"
GPU,2,65536,10GB,2,4s,"10.000 GB",4.118,0.002,0.005,2.469,0.001,10.751,"2.428 GB/s ","1.480 GB/s"
GPU,2,65536,20GB,2,4s,"20.000 GB",7.471,0.002,0.004,2.518,0.001,14.275,"2.677 GB/s ","1.946 GB/s"
GPU,2,131072,1GB,2,4s,"1.000 GB",0.439,0.002,0.002,0.510,0.001,4.966,"2.277 GB/s ","1.034 GB/s"
GPU,2,131072,5GB,2,4s,"5.000 GB",1.993,0.002,0.002,1.654,0.000,7.723,"2.508 GB/s ","1.343 GB/s"
GPU,2,131072,10GB,2,4s,"10.000 GB",4.152,0.002,0.869,2.578,0.001,11.757,"2.408 GB/s ","1.289 GB/s"
GPU,2,131072,20GB,2,4s,"20.000 GB",7.862,0.002,0.002,2.261,0.001,14.408,"2.544 GB/s ","1.921 GB/s"
GPU,2,262144,1GB,2,4s,"1.000 GB",0.431,0.001,0.002,0.500,0.000,4.954,"2.317 GB/s ","1.048 GB/s"
GPU,2,262144,5GB,2,4s,"5.000 GB",2.014,0.002,0.002,1.686,0.001,7.775,"2.482 GB/s ","1.324 GB/s"
GPU,2,262144,10GB,2,4s,"10.000 GB",4.058,0.002,0.002,3.409,0.001,11.626,"2.464 GB/s ","1.311 GB/s"
GPU,2,262144,20GB,2,4s,"20.000 GB",7.578,0.002,0.002,2.465,0.001,14.322,"2.639 GB/s ","1.938 GB/s"
GPU,2,524288,1GB,2,4s,"1.000 GB",0.436,0.002,0.002,0.482,0.001,4.936,"2.294 GB/s ","1.068 GB/s"
GPU,2,524288,5GB,2,4s,"5.000 GB",2.012,0.001,0.002,1.690,0.001,7.780,"2.484 GB/s ","1.322 GB/s"
GPU,2,524288,10GB,2,4s,"10.000 GB",4.169,0.002,0.002,2.426,0.001,10.758,"2.398 GB/s ","1.479 GB/s"
GPU,2,524288,20GB,2,4s,"20.000 GB",7.640,0.002,0.002,2.564,0.001,14.487,"2.617 GB/s ","1.906 GB/s"
GPU,2,1048576,1GB,2,4s,"1.000 GB",0.439,0.002,0.172,0.406,0.000,5.033,"2.277 GB/s ","991.403 MB/s"
GPU,2,1048576,5GB,2,4s,"5.000 GB",2.003,0.002,0.003,1.774,0.001,7.855,"2.495 GB/s ","1.297 GB/s"
GPU,2,1048576,10GB,2,4s,"10.000 GB",4.213,0.001,0.002,2.494,0.001,10.868,"2.373 GB/s ","1.455 GB/s"
GPU,2,1048576,20GB,2,4s,"20.000 GB",7.747,0.001,0.007,2.517,0.001,14.554,"2.581 GB/s ","1.895 GB/s"
GPU,2,2097152,1GB,2,4s,"1.000 GB",0.429,0.002,0.002,0.496,0.000,4.942,"2.333 GB/s ","1.062 GB/s"
