mode,io_threads,block_size,dataset_size,ranks,compute_time,write_size,raw_write_time,metadata_time,h5fcreate_time,h5fflush_time,h5fclose_time,completion_time,raw_write_rate,observed_write_rate
GPU,1,65536,1GB,1,4s,"1.000 GB",0.502,0.001,0.002,0.220,0.000,4.748,"1.990 GB/s ","1.336 GB/s"
GPU,1,65536,5GB,1,4s,"5.000 GB",2.470,0.001,0.002,1.631,0.000,8.239,"2.024 GB/s ","1.179 GB/s"
GPU,1,65536,10GB,1,4s,"10.000 GB",5.140,0.001,0.002,1.628,0.000,11.065,"1.945 GB/s ","1.415 GB/s"
GPU,1,65536,20GB,1,4s,"20.000 GB",10.364,0.001,0.002,2.285,0.000,17.260,"1.930 GB/s ","1.508 GB/s"
GPU,1,131072,1GB,1,4s,"1.000 GB",0.502,0.001,0.002,0.328,0.000,4.856,"1.993 GB/s ","1.167 GB/s"
GPU,1,131072,5GB,1,4s,"5.000 GB",2.459,0.001,0.002,1.833,0.000,8.429,"2.032 GB/s ","1.129 GB/s"
GPU,1,131072,10GB,1,4s,"10.000 GB",5.114,0.001,0.002,2.300,0.000,11.720,"1.955 GB/s ","1.295 GB/s"
GPU,1,131072,20GB,1,4s,"20.000 GB",10.586,0.001,0.002,1.748,0.000,16.951,"1.889 GB/s ","1.544 GB/s"
GPU,1,262144,1GB,1,4s,"1.000 GB",0.500,0.001,0.002,0.506,0.000,5.033,"1.998 GB/s ","991.278 MB/s"
GPU,1,262144,5GB,1,4s,"5.000 GB",2.467,0.001,0.002,1.643,0.000,8.249,"2.026 GB/s ","1.177 GB/s"
GPU,1,262144,10GB,1,4s,"10.000 GB",5.109,0.001,0.002,2.433,0.000,11.837,"1.957 GB/s ","1.275 GB/s"
GPU,1,262144,20GB,1,4s,"20.000 GB",10.479,0.001,0.002,2.084,0.000,17.172,"1.908 GB/s ","1.518 GB/s"
GPU,1,524288,1GB,1,4s,"1.000 GB",0.504,0.001,0.002,0.506,0.000,5.036,"1.985 GB/s ","988.866 MB/s"
GPU,1,524288,5GB,1,4s,"5.000 GB",2.468,0.001,0.002,1.646,0.000,8.250,"2.025 GB/s ","1.176 GB/s"
GPU,1,524288,10GB,1,4s,"10.000 GB",5.125,0.001,0.002,1.681,0.000,11.108,"1.950 GB/s ","1.406 GB/s"
GPU,1,524288,20GB,1,4s,"20.000 GB",10.389,0.001,0.002,1.775,0.000,16.780,"1.925 GB/s ","1.564 GB/s"
GPU,1,1048576,1GB,1,4s,"1.000 GB",0.502,0.001,0.002,0.513,0.000,5.041,"1.993 GB/s ","983.689 MB/s"
GPU,1,1048576,5GB,1,4s,"5.000 GB",2.465,0.001,0.002,1.652,0.000,8.253,"2.027 GB/s ","1.175 GB/s"
GPU,1,1048576,10GB,1,4s,"10.000 GB",5.068,0.001,0.002,2.317,0.000,11.680,"1.973 GB/s ","1.302 GB/s"
GPU,1,1048576,20GB,1,4s,"20.000 GB",10.473,0.001,0.002,2.269,0.000,17.358,"1.909 GB/s ","1.497 GB/s"
GPU,1,2097152,1GB,1,4s,"1.000 GB",0.502,0.001,0.002,0.504,0.000,5.032,"1.992 GB/s ","992.346 MB/s"
GPU,1,2097152,5GB,1,4s,"5.000 GB",2.469,0.001,0.002,1.604,0.000,8.210,"2.024 GB/s ","1.188 GB/s"
GPU,1,2097152,10GB,1,4s,"10.000 GB",5.101,0.001,0.002,2.252,0.000,11.653,"1.960 GB/s ","1.306 GB/s"
GPU,1,2097152,20GB,1,4s,"20.000 GB",10.540,0.001,0.002,1.776,0.000,16.930,"1.897 GB/s ","1.546 GB/s"
GPU,1,4194304,1GB,1,4s,"1.000 GB",0.504,0.001,0.002,0.492,0.000,5.022,"1.985 GB/s ","1002.399 MB/s"
GPU,1,4194304,5GB,1,4s,"5.000 GB",2.467,0.001,0.002,1.645,0.000,8.251,"2.026 GB/s ","1.176 GB/s"
GPU,1,4194304,10GB,1,4s,"10.000 GB",5.130,0.001,0.002,2.478,0.000,11.906,"1.949 GB/s ","1.265 GB/s"
GPU,1,4194304,20GB,1,4s,"20.000 GB",10.489,0.001,0.002,2.306,0.000,17.408,"1.906 GB/s ","1.491 GB/s"
GPU,2,65536,1GB,2,4s,"1.000 GB",0.448,0.001,0.044,0.517,0.000,5.024,"2.233 GB/s ","999.681 MB/s"
GPU,2,65536,5GB,2,4s,"5.000 GB",2.142,0.001,0.114,1.656,0.000,7.989,"2.333 GB/s ","1.253 GB/s"
GPU,2,65536,10GB,2,4s,"10.000 GB",4.378,0.001,0.050,2.440,0.000,11.032,"2.283 GB/s ","1.422 GB/s"
GPU,2,65536,20GB,2,4s,"20.000 GB",8.597,0.001,0.041,2.317,0.000,15.288,"2.326 GB/s ","1.771 GB/s"
GPU,2,131072,1GB,2,4s,"1.000 GB",0.435,0.001,0.045,0.510,0.000,5.004,"2.300 GB/s ","1019.846 MB/s"
GPU,2,131072,5GB,2,4s,"5.000 GB",2.124,0.001,0.044,1.662,0.000,7.905,"2.354 GB/s ","1.280 GB/s"
GPU,2,131072,10GB,2,4s,"10.000 GB",4.535,0.001,0.014,1.681,0.000,10.400,"2.204 GB/s ","1.562 GB/s"
GPU,2,131072,20GB,2,4s,"20.000 GB",8.647,0.001,0.002,2.279,0.000,15.256,"2.312 GB/s ","1.776 GB/s"
GPU,2,262144,1GB,2,4s,"1.000 GB",0.438,0.001,0.044,0.414,0.000,4.910,"2.282 GB/s ","1.098 GB/s"
GPU,2,262144,5GB,2,4s,"5.000 GB",2.138,0.001,0.047,1.751,0.000,8.013,"2.339 GB/s ","1.245 GB/s"
GPU,2,262144,10GB,2,4s,"10.000 GB",4.489,0.001,0.049,1.807,0.000,10.512,"2.228 GB/s ","1.535 GB/s"
GPU,2,262144,20GB,2,4s,"20.000 GB",8.836,0.001,0.007,2.327,0.000,15.503,"2.263 GB/s ","1.738 GB/s"
GPU,2,524288,1GB,2,4s,"1.000 GB",0.434,0.001,0.045,0.517,0.000,5.010,"2.305 GB/s ","1013.421 MB/s"
GPU,2,524288,5GB,2,4s,"5.000 GB",2.096,0.001,0.058,1.639,0.000,7.869,"2.385 GB/s ","1.292 GB/s"
GPU,2,524288,10GB,2,4s,"10.000 GB",4.479,0.001,0.044,1.438,0.000,10.131,"2.232 GB/s ","1.631 GB/s"
GPU,2,524288,20GB,2,4s,"20.000 GB",8.618,0.001,0.003,2.169,0.000,15.120,"2.320 GB/s ","1.798 GB/s"
GPU,2,1048576,1GB,2,4s,"1.000 GB",0.449,0.001,0.044,0.272,0.000,4.780,"2.225 GB/s ","1.282 GB/s"
GPU,2,1048576,5GB,2,4s,"5.000 GB",2.139,0.001,0.048,1.901,0.000,8.165,"2.337 GB/s ","1.200 GB/s"
GPU,2,1048576,10GB,2,4s,"10.000 GB",4.645,0.001,0.043,1.761,0.000,10.615,"2.152 GB/s ","1.512 GB/s"
GPU,2,1048576,20GB,2,4s,"20.000 GB",8.597,0.001,0.002,2.011,0.000,14.938,"2.326 GB/s ","1.828 GB/s"
GPU,2,2097152,1GB,2,4s,"1.000 GB",0.443,0.001,0.044,0.319,0.000,4.821,"2.258 GB/s ","1.218 GB/s"
GPU,2,2097152,5GB,2,4s,"5.000 GB",2.180,0.001,0.050,1.851,0.000,8.157,"2.293 GB/s ","1.202 GB/s"
GPU,2,2097152,10GB,2,4s,"10.000 GB",4.513,0.001,0.032,1.790,0.000,10.504,"2.215 GB/s ","1.537 GB/s"
GPU,2,2097152,20GB,2,4s,"20.000 GB",8.457,0.001,0.054,2.249,0.000,15.093,"2.364 GB/s ","1.803 GB/s"
GPU,2,4194304,1GB,2,4s,"1.000 GB",0.439,0.001,0.045,0.512,0.000,5.010,"2.278 GB/s ","1013.808 MB/s"
GPU,2,4194304,5GB,2,4s,"5.000 GB",2.165,0.001,0.044,1.646,0.000,7.936,"2.309 GB/s ","1.270 GB/s"
GPU,2,4194304,10GB,2,4s,"10.000 GB",4.537,0.001,0.043,1.651,0.000,10.398,"2.203 GB/s ","1.562 GB/s"
GPU,2,4194304,20GB,2,4s,"20.000 GB",8.871,0.001,0.061,2.374,0.000,15.636,"2.254 GB/s ","1.718 GB/s"
GPU,4,65536,1GB,4,4s,"1.000 GB",0.524,0.001,0.002,0.496,0.000,5.031,"1.909 GB/s ","993.136 MB/s"
GPU,4,65536,5GB,4,4s,"5.000 GB",2.454,0.001,0.006,1.712,0.000,8.212,"2.037 GB/s ","1.187 GB/s"
GPU,4,65536,10GB,4,4s,"10.000 GB",5.089,0.001,0.020,2.647,0.000,11.846,"1.965 GB/s ","1.274 GB/s"
GPU,4,65536,20GB,4,4s,"20.000 GB",10.393,0.001,0.005,2.196,0.001,16.775,"1.924 GB/s ","1.565 GB/s"
GPU,4,131072,1GB,4,4s,"1.000 GB",0.525,0.001,0.002,0.495,0.032,5.062,"1.906 GB/s ","964.127 MB/s"
GPU,4,131072,5GB,4,4s,"5.000 GB",2.491,0.001,0.002,1.684,0.000,8.220,"2.007 GB/s ","1.185 GB/s"
GPU,4,131072,10GB,4,4s,"10.000 GB",7.684,0.001,0.693,1.549,0.000,14.019,"1.301 GB/s ","1022.090 MB/s"
GPU,4,131072,20GB,4,4s,"20.000 GB",10.357,0.001,1.368,2.352,0.000,18.257,"1.931 GB/s ","1.402 GB/s"
GPU,4,262144,1GB,4,4s,"1.000 GB",0.524,0.001,0.002,0.497,0.000,5.032,"1.909 GB/s ","992.537 MB/s"
GPU,4,262144,5GB,4,4s,"5.000 GB",2.497,0.001,0.002,1.674,0.000,8.217,"2.002 GB/s ","1.186 GB/s"
GPU,4,262144,10GB,4,4s,"10.000 GB",5.110,0.001,0.011,2.515,0.000,11.730,"1.956 GB/s ","1.293 GB/s"
