mode,io_threads,block_size,dataset_size,ranks,compute_time,read_size,raw_read_time,metadata_time,raw_read_rate,observed_read_rate
GPU,1,65536,1GB,1,4s,"1.000 GB",0.234,0.001,"4.265 GB/s ","4.243 GB/s"
GPU,1,65536,5GB,1,4s,"5.000 GB",1.158,0.001,"4.317 GB/s ","4.310 GB/s"
GPU,1,65536,10GB,1,4s,"10.000 GB",2.291,0.001,"4.364 GB/s ","4.362 GB/s"
GPU,1,65536,20GB,1,4s,"20.000 GB",4.667,0.001,"4.285 GB/s ","4.284 GB/s"
GPU,1,131072,1GB,1,4s,"1.000 GB",0.242,0.001,"4.125 GB/s ","4.086 GB/s"
GPU,1,131072,5GB,1,4s,"5.000 GB",1.167,0.001,"4.283 GB/s ","4.275 GB/s"
GPU,1,131072,10GB,1,4s,"10.000 GB",2.303,0.001,"4.341 GB/s ","4.337 GB/s"
GPU,1,131072,20GB,1,4s,"20.000 GB",4.611,0.001,"4.337 GB/s ","4.336 GB/s"
GPU,1,262144,1GB,1,4s,"1.000 GB",0.243,0.001,"4.111 GB/s ","4.089 GB/s"
GPU,1,262144,5GB,1,4s,"5.000 GB",1.167,0.001,"4.282 GB/s ","4.277 GB/s"
GPU,1,262144,10GB,1,4s,"10.000 GB",2.304,0.001,"4.341 GB/s ","4.338 GB/s"
GPU,1,262144,20GB,1,4s,"20.000 GB",4.583,0.001,"4.364 GB/s ","4.362 GB/s"
GPU,1,524288,1GB,1,4s,"1.000 GB",0.243,0.001,"4.107 GB/s ","4.084 GB/s"
GPU,1,524288,5GB,1,4s,"5.000 GB",1.168,0.001,"4.280 GB/s ","4.272 GB/s"
GPU,1,524288,10GB,1,4s,"10.000 GB",2.304,0.001,"4.340 GB/s ","4.338 GB/s"
GPU,1,524288,20GB,1,4s,"20.000 GB",4.568,0.001,"4.378 GB/s ","4.376 GB/s"
GPU,1,1048576,1GB,1,4s,"1.000 GB",0.243,0.001,"4.109 GB/s ","4.087 GB/s"
GPU,1,1048576,5GB,1,4s,"5.000 GB",1.168,0.001,"4.280 GB/s ","4.276 GB/s"
GPU,1,1048576,10GB,1,4s,"10.000 GB",2.305,0.001,"4.338 GB/s ","4.336 GB/s"
GPU,1,1048576,20GB,1,4s,"20.000 GB",4.572,0.001,"4.374 GB/s ","4.372 GB/s"
GPU,1,2097152,1GB,1,4s,"1.000 GB",0.244,0.001,"4.101 GB/s ","4.080 GB/s"
GPU,1,2097152,5GB,1,4s,"5.000 GB",1.168,0.001,"4.280 GB/s ","4.275 GB/s"
GPU,1,2097152,10GB,1,4s,"10.000 GB",2.305,0.001,"4.339 GB/s ","4.336 GB/s"
GPU,1,2097152,20GB,1,4s,"20.000 GB",4.574,0.001,"4.372 GB/s ","4.371 GB/s"
GPU,1,4194304,1GB,1,4s,"1.000 GB",0.244,0.001,"4.099 GB/s ","4.078 GB/s"
GPU,1,4194304,5GB,1,4s,"5.000 GB",1.169,0.001,"4.277 GB/s ","4.270 GB/s"
GPU,1,4194304,10GB,1,4s,"10.000 GB",2.307,0.001,"4.335 GB/s ","4.332 GB/s"
GPU,1,4194304,20GB,1,4s,"20.000 GB",4.574,0.001,"4.372 GB/s ","4.371 GB/s"
GPU,2,65536,1GB,2,4s,"1.000 GB",0.165,0.001,"6.045 GB/s ","5.986 GB/s"
GPU,2,65536,5GB,2,4s,"5.000 GB",0.679,0.001,"7.368 GB/s ","7.350 GB/s"
GPU,2,65536,10GB,2,4s,"10.000 GB",1.296,0.001,"7.715 GB/s ","7.702 GB/s"
GPU,2,65536,20GB,2,4s,"20.000 GB",2.542,0.001,"7.868 GB/s ","7.864 GB/s"
GPU,2,131072,1GB,2,4s,"1.000 GB",0.165,0.001,"6.042 GB/s ","5.988 GB/s"
GPU,2,131072,5GB,2,4s,"5.000 GB",0.674,0.001,"7.419 GB/s ","7.395 GB/s"
GPU,2,131072,10GB,2,4s,"10.000 GB",1.300,0.001,"7.693 GB/s ","7.686 GB/s"
