mode,io_threads,block_size,dataset_size,ranks,compute_time,read_size,raw_read_time,metadata_time,raw_read_rate,observed_read_rate
GPU,2,2097152,5GB,2,4s,"5.000 GB",0.725,0.001,"6.892 GB/s ","6.867 GB/s"
GPU,2,2097152,10GB,2,4s,"10.000 GB",1.343,0.001,"7.445 GB/s ","7.438 GB/s"
GPU,2,2097152,20GB,2,4s,"20.000 GB",5.616,0.001,"3.562 GB/s ","3.498 GB/s"
GPU,2,4194304,1GB,2,4s,"1.000 GB",0.445,0.001,"2.245 GB/s ","2.180 GB/s"
GPU,2,4194304,5GB,2,4s,"5.000 GB",1.678,0.005,"2.979 GB/s ","2.929 GB/s"
GPU,2,4194304,10GB,2,4s,"10.000 GB",2.794,0.001,"3.579 GB/s ","3.577 GB/s"
GPU,2,4194304,20GB,2,4s,"20.000 GB",5.291,0.065,"3.779 GB/s ","3.724 GB/s"
GPU,4,65536,1GB,4,4s,"1.000 GB",2.244,0.304,"456.332 MB/s ","400.266 MB/s"
GPU,4,65536,5GB,4,4s,"5.000 GB",6.770,0.438,"756.292 MB/s ","702.145 MB/s"
GPU,4,65536,10GB,4,4s,"10.000 GB",10.354,0.203,"988.956 MB/s ","961.473 MB/s"
GPU,4,65536,20GB,4,4s,"20.000 GB",16.655,0.001,"1.200 GB/s ","1.197 GB/s"
GPU,4,131072,1GB,4,4s,"1.000 GB",1.243,0.033,"823.706 MB/s ","778.561 MB/s"
GPU,4,131072,5GB,4,4s,"5.000 GB",5.642,0.021,"907.476 MB/s ","903.381 MB/s"
GPU,4,131072,10GB,4,4s,"10.000 GB",10.871,0.061,"941.942 MB/s ","929.560 MB/s"
GPU,4,131072,20GB,4,4s,"20.000 GB",17.667,0.029,"1.132 GB/s ","1.125 GB/s"
GPU,4,262144,1GB,4,4s,"1.000 GB",2.239,0.113,"457.271 MB/s ","431.618 MB/s"
GPU,4,262144,5GB,4,4s,"5.000 GB",5.807,0.120,"881.630 MB/s ","863.634 MB/s"
GPU,4,262144,10GB,4,4s,"10.000 GB",9.791,0.416,"1.021 GB/s ","1003.170 MB/s"
GPU,4,262144,20GB,4,4s,"20.000 GB",18.016,0.172,"1.109 GB/s ","1.098 GB/s"
GPU,4,524288,1GB,4,4s,"1.000 GB",2.215,0.018,"462.305 MB/s ","440.633 MB/s"
GPU,4,524288,5GB,4,4s,"5.000 GB",7.692,0.572,"665.630 MB/s ","616.859 MB/s"
GPU,4,524288,10GB,4,4s,"10.000 GB",8.837,0.001,"1.131 GB/s ","1.125 GB/s"
GPU,4,524288,20GB,4,4s,"20.000 GB",16.975,0.025,"1.178 GB/s ","1.174 GB/s"
GPU,4,1048576,1GB,4,4s,"1.000 GB",0.646,0.001,"1.548 GB/s ","1.542 GB/s"
GPU,4,1048576,5GB,4,4s,"5.000 GB",2.315,0.001,"2.159 GB/s ","2.157 GB/s"
GPU,4,1048576,10GB,4,4s,"10.000 GB",4.808,0.119,"2.079 GB/s ","2.028 GB/s"
