mode,io_threads,block_size,dataset_size,ranks,compute_time,write_size,raw_write_time,metadata_time,h5fcreate_time,h5fflush_time,h5fclose_time,completion_time,raw_write_rate,observed_write_rate
GPU,2,262144,5GB,2,4s,"5.000 GB",2.176,0.001,0.619,1.468,0.000,8.338,"2.297 GB/s ","1.152 GB/s"
GPU,2,262144,10GB,2,4s,"10.000 GB",4.478,0.001,0.055,2.334,0.000,11.034,"2.232 GB/s ","1.421 GB/s"
GPU,2,262144,20GB,2,4s,"20.000 GB",8.656,0.001,0.056,2.240,0.000,15.284,"2.311 GB/s ","1.772 GB/s"
GPU,2,524288,1GB,2,4s,"1.000 GB",0.438,0.001,0.045,0.248,0.000,4.746,"2.283 GB/s ","1.341 GB/s"
GPU,2,524288,5GB,2,4s,"5.000 GB",2.176,0.001,0.049,1.684,0.000,7.985,"2.298 GB/s ","1.254 GB/s"
GPU,2,524288,10GB,2,4s,"10.000 GB",4.494,0.001,0.053,1.457,0.000,10.170,"2.225 GB/s ","1.620 GB/s"
GPU,2,524288,20GB,2,4s,"20.000 GB",8.621,0.001,0.062,2.228,0.000,15.237,"2.319 GB/s ","1.779 GB/s"
GPU,2,1048576,1GB,2,4s,"1.000 GB",0.447,0.001,0.045,0.496,0.000,5.003,"2.236 GB/s ","1021.428 MB/s"
GPU,2,1048576,5GB,2,4s,"5.000 GB",2.153,0.001,0.005,1.427,0.000,7.662,"2.321 GB/s ","1.365 GB/s"
GPU,2,1048576,10GB,2,4s,"10.000 GB",4.419,0.001,0.568,2.589,0.000,11.738,"2.263 GB/s ","1.292 GB/s"
GPU,2,1048576,20GB,2,4s,"20.000 GB",8.626,0.001,0.047,2.303,0.000,15.308,"2.318 GB/s ","1.769 GB/s"
GPU,2,2097152,1GB,2,4s,"1.000 GB",0.437,0.001,0.045,0.350,0.000,4.846,"2.288 GB/s ","1.181 GB/s"
GPU,2,2097152,5GB,2,4s,"5.000 GB",2.147,0.001,0.046,1.563,0.000,7.834,"2.328 GB/s ","1.304 GB/s"
GPU,2,2097152,10GB,2,4s,"10.000 GB",4.476,0.001,0.052,1.604,0.000,10.297,"2.233 GB/s ","1.588 GB/s"
GPU,2,2097152,20GB,2,4s,"20.000 GB",8.617,0.001,0.048,2.281,0.000,15.273,"2.320 GB/s ","1.773 GB/s"
GPU,2,4194304,1GB,2,4s,"1.000 GB",0.441,0.001,0.044,0.511,0.000,5.011,"2.270 GB/s ","1012.986 MB/s"
GPU,2,4194304,5GB,2,4s,"5.000 GB",2.156,0.001,0.043,1.527,0.000,7.802,"2.318 GB/s ","1.314 GB/s"
GPU,2,4194304,10GB,2,4s,"10.000 GB",4.551,0.001,0.004,1.817,0.000,10.538,"2.197 GB/s ","1.529 GB/s"
GPU,2,4194304,20GB,2,4s,"20.000 GB",8.897,0.001,0.047,2.269,0.000,15.545,"2.247 GB/s ","1.731 GB/s"
GPU,4,65536,1GB,4,4s,"1.000 GB",0.546,0.001,0.002,0.462,0.008,5.027,"1.831 GB/s ","996.976 MB/s"
GPU,4,65536,5GB,4,4s,"5.000 GB",2.486,0.001,0.007,1.475,0.000,8.008,"2.011 GB/s ","1.247 GB/s"
GPU,4,65536,10GB,4,4s,"10.000 GB",5.123,0.001,0.002,2.324,0.000,11.542,"1.951 GB/s ","1.325 GB/s"
GPU,4,65536,20GB,4,4s,"20.000 GB",10.536,0.001,0.789,2.179,0.000,17.685,"1.897 GB/s ","1.461 GB/s"
GPU,4,131072,1GB,4,4s,"1.000 GB",0.524,0.001,0.006,0.507,0.000,5.046,"1.907 GB/s ","978.820 MB/s"
GPU,4,131072,5GB,4,4s,"5.000 GB",2.511,0.001,0.345,1.404,0.001,8.307,"1.990 GB/s ","1.160 GB/s"
GPU,4,131072,10GB,4,4s,"10.000 GB",5.144,0.001,0.010,2.618,0.000,11.864,"1.943 GB/s ","1.271 GB/s"
GPU,4,131072,20GB,4,4s,"20.000 GB",10.418,0.001,0.749,2.133,0.032,17.514,"1.919 GB/s ","1.479 GB/s"
GPU,4,262144,1GB,4,4s,"1.000 GB",0.528,0.001,0.004,0.511,0.043,5.095,"1.895 GB/s ","935.585 MB/s"
GPU,4,262144,5GB,4,4s,"5.000 GB",2.505,0.001,0.010,1.473,0.000,8.030,"1.996 GB/s ","1.240 GB/s"
GPU,4,262144,10GB,4,4s,"10.000 GB",5.093,0.001,0.021,2.638,0.000,11.842,"1.963 GB/s ","1.274 GB/s"
GPU,4,262144,20GB,4,4s,"20.000 GB",10.352,0.001,0.399,2.047,0.000,16.976,"1.932 GB/s ","1.541 GB/s"
GPU,4,524288,1GB,4,4s,"1.000 GB",0.529,0.001,0.090,0.527,0.028,5.183,"1.890 GB/s ","865.758 MB/s"
