mode,io_threads,block_size,dataset_size,ranks,compute_time,write_size,raw_write_time,metadata_time,h5fcreate_time,h5fflush_time,h5fclose_time,completion_time,raw_write_rate,observed_write_rate
GPU,1,65536,1GB,1,4s,"1.000 GB",0.343,0.001,0.001,0.271,0.000,4.631,"2.912 GB/s ","1.584 GB/s"
GPU,1,65536,5GB#,1,4s,"576.000 B",0.001,0.002,0.005,0.016,0.000,4.024,"552.554 KB/s ","22.970 KB/s"
GPU,1,65536,10GB,1,4s,"10.000 GB",3.529,0.001,0.001,0.878,0.000,8.531,"2.834 GB/s ","2.206 GB/s"
GPU,1,65536,20GB,1,4s,"20.000 GB",7.079,0.001,0.001,1.060,0.000,12.364,"2.824 GB/s ","2.391 GB/s"
GPU,1,131072,1GB,1,4s,"1.000 GB",0.340,0.001,0.001,0.272,0.000,4.628,"2.944 GB/s ","1.591 GB/s"
GPU,1,131072,5GB#,1,4s,"576.000 B",0.001,0.002,0.005,0.010,0.001,4.018,"559.145 KB/s ","30.714 KB/s"
GPU,1,131072,10GB,1,4s,"10.000 GB",3.547,0.001,0.001,1.144,0.000,8.815,"2.818 GB/s ","2.076 GB/s"
GPU,1,131072,20GB,1,4s,"20.000 GB",7.217,0.001,0.001,1.062,0.000,12.505,"2.771 GB/s ","2.352 GB/s"
GPU,1,262144#,1GB,1,4s,"1.000 GB",0.335,0.001,0.001,0.925,0.001,5.278,"2.981 GB/s ","801.073 MB/s"
GPU,1,262144#,5GB#,1,4s,"576.000 B",0.001,0.001,0.004,0.010,0.001,4.018,"645.809 KB/s ","30.577 KB/s"
GPU,1,262144#,10GB,1,4s,"10.000 GB",3.448,0.001,0.001,4.749,0.001,12.324,"2.899 GB/s ","1.201 GB/s"
GPU,1,262144#,20GB,1,4s,"20.000 GB",7.188,0.001,0.001,3.650,0.001,15.071,"2.782 GB/s ","1.806 GB/s"
GPU,1,524288,1GB,1,4s,"1.000 GB",0.339,0.001,0.001,0.527,0.000,4.883,"2.950 GB/s ","1.132 GB/s"
GPU,1,524288,5GB#,1,4s,"576.000 B",0.001,0.001,0.001,0.010,0.001,4.014,"928.218 KB/s ","39.451 KB/s"
