mode,io_threads,block_size,dataset_size,ranks,compute_time,write_size,raw_write_time,metadata_time,h5fcreate_time,h5fflush_time,h5fclose_time,completion_time,raw_write_rate,observed_write_rate
GPU,1,65536,1GB,1,4s,"1.000 GB",0.000,0.000,0.013,0.000,0.000,4.037,"4.834 TB/s ","27.208 GB/s"
GPU,1,65536,5GB#,1,4s,"576.000 B",0.000,0.000,0.005,0.000,0.000,4.006,"2.985 MB/s ","94.585 KB/s"
GPU,1,65536,10GB,1,4s,"10.000 GB",0.000,0.000,0.001,0.000,0.000,4.114,"43.210 TB/s ","87.418 GB/s"
GPU,1,65536,20GB,1,4s,"20.000 GB",0.000,0.000,0.001,0.000,0.000,4.218,"111.606 TB/s ","91.568 GB/s"
GPU,1,131072,1GB,1,4s,"1.000 GB",0.000,0.000,0.001,0.000,0.000,4.016,"17.438 TB/s ","61.931 GB/s"
GPU,1,131072,5GB#,1,4s,"576.000 B",0.000,0.001,0.005,0.000,0.000,4.007,"1.664 MB/s ","81.925 KB/s"
GPU,1,131072,10GB,1,4s,"10.000 GB",0.000,0.000,0.001,0.000,0.000,4.116,"47.177 TB/s ","85.880 GB/s"
GPU,1,131072,20GB,1,4s,"20.000 GB",0.000,0.000,0.001,0.000,0.000,4.221,"98.146 TB/s ","90.558 GB/s"
GPU,1,262144#,1GB,1,4s,"1.000 GB",0.000,0.001,0.001,0.000,0.000,4.020,"5.086 TB/s ","49.917 GB/s"
GPU,1,262144#,5GB#,1,4s,"576.000 B",0.000,0.000,0.001,0.000,0.000,4.002,"2.591 MB/s ","236.146 KB/s"
GPU,1,262144#,10GB,1,4s,"10.000 GB",0.000,0.000,0.001,0.000,0.000,4.117,"47.177 TB/s ","85.500 GB/s"
GPU,1,262144#,20GB,1,4s,"20.000 GB",0.000,0.000,0.001,0.000,0.000,4.218,"81.380 TB/s ","91.660 GB/s"
GPU,1,524288,1GB,1,4s,"1.000 GB",0.000,0.000,0.001,0.000,0.000,4.016,"16.837 TB/s ","62.680 GB/s"
GPU,1,524288,5GB#,1,4s,"576.000 B",0.000,0.001,0.005,0.000,0.000,4.007,"1.664 MB/s ","83.087 KB/s"
GPU,1,524288,10GB,1,4s,"10.000 GB",0.000,0.000,0.001,0.000,0.000,4.119,"45.848 TB/s ","84.136 GB/s"
GPU,1,524288,20GB,1,4s,"20.000 GB",0.000,0.000,0.001,0.000,0.000,4.223,"96.213 TB/s ","89.820 GB/s"
GPU,1,1048576,1GB,1,4s,"1.000 GB",0.000,0.000,0.001,0.000,0.000,4.020,"4.717 TB/s ","49.570 GB/s"
