mode,io_threads,block_size,dataset_size,ranks,compute_time,write_size,raw_write_time,metadata_time,h5fcreate_time,h5fflush_time,h5fclose_time,completion_time,raw_write_rate,observed_write_rate
GPU,1,65536,1GB,1,4s,"1.000 GB",0.336,0.001,0.001,0.434,0.000,4.788,"2.974 GB/s ","1.269 GB/s"
GPU,1,65536,5GB#,1,4s,"576.000 B",0.001,0.001,0.002,0.019,0.001,4.024,"729.571 KB/s ","23.025 KB/s"
GPU,1,65536,10GB,1,4s,"10.000 GB",3.540,0.001,0.001,2.918,0.001,10.584,"2.824 GB/s ","1.519 GB/s"
GPU,1,65536,20GB,1,4s,"20.000 GB",7.011,0.001,0.001,2.465,0.001,13.719,"2.853 GB/s ","2.058 GB/s"
GPU,1,131072,1GB,1,4s,"1.000 GB",0.337,0.001,0.001,0.494,0.001,4.847,"2.968 GB/s ","1.180 GB/s"
GPU,1,131072,5GB#,1,4s,"576.000 B",0.001,0.001,0.002,0.016,0.001,4.022,"776.934 KB/s ","25.992 KB/s"
GPU,1,131072,10GB,1,4s,"10.000 GB",3.506,0.001,0.001,2.482,0.001,10.120,"2.852 GB/s ","1.634 GB/s"
GPU,1,131072,20GB,1,4s,"20.000 GB",7.189,0.001,0.001,2.694,0.000,14.131,"2.781 GB/s ","1.974 GB/s"
GPU,1,262144#,1GB,1,4s,"1.000 GB",0.343,0.001,0.001,0.482,0.001,4.841,"2.919 GB/s ","1.188 GB/s"
GPU,1,262144#,5GB#,1,4s,"576.000 B",0.001,0.001,0.002,0.011,0.001,4.017,"785.614 KB/s ","33.354 KB/s"
GPU,1,262144#,10GB,1,4s,"10.000 GB",3.484,0.001,0.001,2.506,0.001,10.122,"2.870 GB/s ","1.633 GB/s"
GPU,1,262144#,20GB,1,4s,"20.000 GB",7.107,0.001,0.001,3.218,0.001,14.563,"2.813 GB/s ","1.893 GB/s"
GPU,1,524288,1GB,1,4s,"1.000 GB",0.339,0.001,0.001,0.508,0.001,4.863,"2.951 GB/s ","1.158 GB/s"
GPU,1,524288,5GB#,1,4s,"576.000 B",0.001,0.001,0.002,0.019,0.001,4.024,"776.934 KB/s ","23.134 KB/s"
GPU,1,524288,10GB,1,4s,"10.000 GB",3.530,0.001,0.001,2.374,0.000,10.033,"2.832 GB/s ","1.657 GB/s"
GPU,1,524288,20GB,1,4s,"20.000 GB",7.125,0.001,0.001,2.976,0.001,14.338,"2.807 GB/s ","1.935 GB/s"
GPU,1,1048576,1GB,1,4s,"1.000 GB",0.335,0.001,0.001,0.487,0.000,4.839,"2.985 GB/s ","1.191 GB/s"
GPU,1,1048576,5GB#,1,4s,"576.000 B",0.001,0.001,0.002,0.019,0.001,4.024,"767.394 KB/s ","23.246 KB/s"
GPU,1,1048576,10GB,1,4s,"10.000 GB",3.518,0.001,0.001,2.418,0.001,10.070,"2.842 GB/s ","1.646 GB/s"
GPU,1,1048576,20GB,1,4s,"20.000 GB",7.167,0.001,0.001,2.894,0.001,14.304,"2.790 GB/s ","1.940 GB/s"
GPU,1,2097152,1GB,1,4s,"1.000 GB",0.340,0.001,0.001,0.412,0.000,4.768,"2.944 GB/s ","1.301 GB/s"
GPU,1,2097152,5GB#,1,4s,"576.000 B",0.001,0.001,0.002,0.009,0.001,4.015,"787.814 KB/s ","37.857 KB/s"
GPU,1,2097152,10GB,1,4s,"10.000 GB",3.547,0.001,0.001,2.523,0.001,10.204,"2.819 GB/s ","1.611 GB/s"
